F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,y
0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,A
0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,B
1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,A
0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,A
1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,A
0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,B
1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,B
1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,B
0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,A
1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,A
1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,A
0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,A
1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,B
0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,B
0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,A
0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,B
1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,A
1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,A
0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,B
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,B
1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,B
0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,A
0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,B
0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,B
0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,B
1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,A
1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,B
1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,B
1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,A
0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,B
1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,A
1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,A
0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,A
1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,A
1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,B
1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,A
1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,A
1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,A
1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,A
1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,B
1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,A
1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,B
1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,A
1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,B
0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,A
0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,A
0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,A
0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,A
0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,A
1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,A
0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,B
0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,A
1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,B
1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,B
0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,A
1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,B
0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,A
1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,B
0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,A
1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,A
1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,A
1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,A
1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,A
1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,A
1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,B
1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,A
1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,B
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,B
1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,A
0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,A
0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,B
0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,B
1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,A
0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,A
1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,A
0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,A
1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,A
1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,B
1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,B
0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,A
1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,A
1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,A
0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,B
1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,A
0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,A
0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,B
1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,A
1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,A
0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,A
1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,A
0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,A
0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,A
0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,B
1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,A
0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,A
0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,A
1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,B
0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,B
1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,A
0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,A
1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,B
1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,A
0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,A
1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,B
0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,A
0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,A
0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,A
1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,A
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,B
0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,A
0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,A
0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,B
1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,A
0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,B
1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,B
1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,A
1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,B
0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,A
0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,B
1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,B
1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,A
1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,A
1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,A
0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,B
1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,B
1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,A
1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,A
0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,B
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,B
0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,B
1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,B
1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,B
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,A
1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,A
0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,B
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,A
1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,B
1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,B
1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,B
0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,B
1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,A
1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,A
0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,B
0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,B
0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,A
0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,A
0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,B
0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,A
1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,B
1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,B
0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,B
1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,A
1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,B
1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,A
0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,B
0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,A
1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,B
0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,B
1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,B
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,A
0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,B
1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,B
0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,A
1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,A
1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,B
1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,A
1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,A
0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,B
1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,B
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,A
1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,A
0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,B
0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,B
1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,B
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,B
1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,A
0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,B
0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,B
0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,B
0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,A
1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,B
1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,A
0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,B
1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,B
1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,B
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,B
0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,A
0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,A
1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,B
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,B
0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,A
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,B
0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,A
0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,A
0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,A
1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,A
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,A
0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,B
1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,A
1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,B
0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,A
0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,A
1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,A
0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,B
0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,A
0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,B
0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,A
0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,A
0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,A
1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,B
0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,B
1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,A
0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,B
1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,B
1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,B
1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,A
0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,B
1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,B
1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,B
0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,B
0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,B
0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,B
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,B
1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,B
1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,B
1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,A
1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,A
0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,A
0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,B
1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,A
0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,A
1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,A
0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,B
1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,A
0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,B
0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,A
0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,B
1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,A
0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,A
0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,A
0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,A
1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,A
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,A
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,B
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,A
0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,A
1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,B
0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,B
1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,B
1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,B
1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,A
1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,B
0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,B
0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,A
0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,A
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,B
0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,A
1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,A
1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,B
0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,A
0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,B
0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,B
1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,A
0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,A
0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,A
1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,B
1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,B
1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,B
1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,A
1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,B
0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,A
0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,B
0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,B
1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,A
1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,B
1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,A
1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,B
0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,A
0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,A
1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,A
1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,B
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,B
1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,A
1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,A
1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,B
0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,B
1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,B
1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,A
1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,A
0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,A
1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,B
1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,A
0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,A
1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,A
1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,A
1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,A
1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,B
0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,A
1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,B
0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,A
0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,B
1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,A
1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,B
1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,A
0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,B
0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,A
1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,B
0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,B
0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,B
1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,B
1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,B
1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,B
0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,A
1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,B
1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,A
1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,A
0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,A
1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,B
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,B
0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,A
1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,A
1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,B
0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,A
0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,A
0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,A
0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,B
0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,B
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,B
1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,A
1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,A
0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,B
0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,B
0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,A
0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,A
0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,A
1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,A
0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,A
1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,B
1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,A
0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,B
0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,A
0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,A
1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,A
0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,B
0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,A
1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,A
1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,B
1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,B
1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,A
0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,B
0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,A
1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,A
1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,B
1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,B
0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,A
0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,B
0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,B
1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,B
1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,B
1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,A
1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,A
1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,A
0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,A
1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,B
1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,A
1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,A
0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,A
0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,B
0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,A
0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,A
0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,A
1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,B
1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,B
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,A
0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,A
1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,B
0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,A
1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,A
1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,A
